0,1.504018797,0,270002.9332,0,179520.9832,0
4.76520136,0.9800429,-0.01723720545,244484.2726,-591710.2801,260001.4502,-599186.6088
9.53040272,0.9995788879,0.01050234017,-423415.7622,-321149.7123,-426922.6799,-316799.4332
14.29560408,0.9729493963,0.0276813233,-428998.6774,329915.4597,-430929.8013,351348.3519
19.06080544,0.9639670188,0.009225936501,125352.0062,510335.0822,135092.1667,528118.4112
23.8260068,0.9833849289,0.002721258259,442446.3583,46227.09875,450048.478,45762.752
28.59120816,0.9886805735,0.02441809124,126583.9843,-382737.889,118400.0736,-390044.068
33.35640952,0.9768807162,0.02753385998,-325584.3244,-223908.9982,-339480.397,-219639.7051
38.12161088,0.980065724,0.02553155551,-286114.6941,226699.5406,-285714.4526,238753.6563
42.88681224,0.9793059163,0.03141730073,139950.4594,316032.2128,153103.1658,317798.677
47.6520136,0.9794729983,0.02769084465,330121.9635,-39637.62673,335628.0519,-49956.91669
52.41721496,0.9937408411,0.03249822692,45932.68126,-300285.9579,36301.08765,-303364.4854
57.18241632,0.9914373608,0.04860332249,-276501.6659,-105821.8961,-283441.0348,-92840.68131
61.94761768,0.9827216529,0.04177204785,-185057.5415,239021.3779,-177651.6737,250775.2337
66.71281904,0.9945871755,0.03426952004,160960.7502,236659.0539,169833.8227,232095.221
71.4780204,1.004835704,0.0402367859,255768.4731,-92996.23076,250430.1104,-102576.7029
76.24322176,1.003411884,0.04158275963,-21082.65449,-270224.2712,-32116.19668,-267974.4932
81.00842312,1.009768826,0.03822237464,-257588.2248,-53975.65328,-256751.7084,-43734.75609
85.77362448,1.009968209,0.03945383132,-117186.1398,232300.3743,-106881.3132,234182.8677
90.53882584,1.00779862,0.03040776088,187496.5651,182321.6085,191330.0052,175137.8579
95.3040272,1.02056913,0.02134814131,219820.5407,-118418.3201,212869.8739,-120484.4363
100.0692286,1.026284951,0.03058611106,-58778.92241,-235848.8932,-64065.50968,-227899.0627
104.8344299,1.018362051,0.02853782202,-249756.8712,-10567.9544,-245351.647,-3501.851584
109.5996313,1.018918398,0.01524406032,-88954.06341,231559.4108,-83883.62318,228515
114.3648326,1.02451625,0.01305533231,191080.0468,149553.1113,188337.1381,143574.4015
119.130034,1.022807449,0.009562750026,200091.5042,-137396.679,194356.7538,-136150.0292
123.8952354,1.026576511,0.003842520211,-66889.044,-228225.1522,-65988.60462,-222069.7504
128.6604367,1.027945524,0.00615774646,-234402.1501,-902.8147273,-228026.8182,487.687911
133.4256381,1.019424625,0.002593063685,-75350.11251,226449.345,-73348.84604,222321.0403
138.1908394,1.019438101,-0.009272267901,185933.9897,143281.5462,181095.3542,142196.6774
142.9560408,1.027344062,-0.01042458643,183488.263,-129638.0908,179866.412,-124362.4824
147.7212422,1.022749986,-0.004862665166,-71333.07243,-212071.1229,-68758.9259,-207680.7405
152.4864435,1.019152544,-0.01015998839,-222062.8384,431.6741768,-217872.2664,-1748.418852
157.2516449,1.02156906,-0.0144449235,-65512.21008,206156.5769,-66969.11211,200856.9183
162.0168462,1.017427184,-0.01643795854,173976.6419,123697.6067,168988.265,124309.0717
166.7820476,1.016635882,-0.02479444367,167979.8039,-120873.8694,168030.8126,-114797.875
171.547249,1.021904996,-0.02372632965,-62491.39999,-187167.7152,-56868.75055,-184476.0547
176.3124503,1.015906845,-0.0192348755,-195193.162,4876.688728,-192158.8726,1162.052155
181.0776517,1.007186148,-0.02733309937,-59555.30824,182679.4296,-64005.44759,179639.0495
185.842853,1.008583374,-0.03426416378,144799.4452,109458.8923,139718.9473,113273.9724
190.6080544,1.00748911,-0.03069178723,141973.7658,-100620.7044,143827.4232,-95491.23937
195.3732558,1.000895192,-0.03276592106,-48164.82442,-161716.387,-42786.5802,-162972.437
200.1384571,0.9985639763,-0.03418967664,-160493.0249,-5537.220517,-160345.9941,-11035.24508
204.9036585,0.9921216593,-0.03326084472,-53356.18443,146642.6288,-58669.1691,145840.2216
209.6688598,0.9782213307,-0.0385919308,115434.6311,97298.02251,113903.3611,103957.8365
214.4340612,0.9741901761,-0.04034160464,121130.5253,-70595.16272,127122.5436,-67201.28875
219.1992626,0.9732187902,-0.02588680675,-29111.88462,-129701.3719,-26349.46362,-133971.3913
223.9644639,0.9617980877,-0.02162847076,-129797.2546,-14604.36356,-134543.2083,-18209.98361
228.7296653,0.9527651853,-0.02266230122,-56046.4757,110363.9878,-61545.4878,114371.5441
233.4948666,0.9508267991,-0.01465924261,80773.23904,83779.70638,83572.2016,89400.94204
238.260068,0.9403971953,-0.01066223762,100831.6265,-46077.22575,107764.0638,-47775.79082
243.0252694,0.9381514111,-0.004010727462,-8373.346543,-102159.238,-8459.675569,-108930.3563
247.7904707,0.932338613,0.008271270228,-93124.46203,-21050.40255,-100075.0871,-21690.24663
252.5556721,0.9173296224,0.01864062668,-48671.91399,78482.82396,-51298.53958,86598.16379
257.3208734,0.9124037174,0.02385250606,51292.34644,68199.43062,58131.06633,73227.29811
262.0860748,0.9137426729,0.03896139189,71538.22963,-24810.39781,76993.69177,-30435.4607
266.8512762,0.9029323869,0.05346835441,-3803.596952,-70554.03244,-8808.697957,-77617.15814
271.6164775,0.8943065698,0.0646266507,-63291.50747,-17083.18387,-71777.17705,-13915.21178
276.3816789,0.8877639783,0.07834873516,-30637.01483,50595.50252,-29252.69423,59573.73289
281.1468802,0.8744105682,0.09129153995,37515.64705,40437.03559,47217.38391,41315.24619
285.9120816,0.8722636166,0.09834573701,44515.02307,-21067.99842,47704.2676,-29531.79439
